date;language; title; name; container; main_appearance; with_appearance; texture; taste; smell; label; intensity; toxicity; special; special_effect; main_effects; side_effects
2025-01-29 16:55:05.208744;    fr; Élixir  de rêves  frelaté; Élixir; Une bouteille en verre lisse et conique; Blanc; De la translucidité; Granuleux; Le chocolat; Une nouvelle voiture; Un numéro mystérieux; ; Frelaté; ; Pas d'effet spécial; ["Rêves. Plonge l'utilisateur dans un monde de rêves hallucinatoires de son rêve parfait. Hallucinations pendant 1 heure."]; ['Spasmes incontrôlables. Spasmes musculaires pendant 1d4 rounds.', 'Allergie cruelle. Réaction allergique à votre nourriture préférée pendant 1d6 heures.']
2025-01-29 16:55:05.506718;    fr; Fiole puissante de paix antidépresseur  périmé; Fiole; Un cornet avec un bouchon; Orange; Du sang à l'intérieur; Huileux; Les roses; Magiquement la chose la plus désirable pour vous; Sa description en langage des abysses; Puissant; Périmé; ; Pas d'effet spécial; ["Paix. Rend l'utilisateur très calme et incapable de nuire aux autres. Incapacité d'attaquer ou de nuire pendant 1 heure.", "Antidépresseur. Améliore l'humeur de l'utilisateur et réduit les effets de peur ou de tristesse. Immunité à la peur et au désespoir pendant 1 heure."]; ['Faiblesse musculaire. Perte de force (-1d4 à la FOR) pendant 1d6 heures.']
2025-01-29 16:55:05.801622;    fr; Philtre  de griffes d'horreur  ; Philtre; Une fiole en pierre; Blanc; Un liquide en mouvement constant; Épais et boueux; Le poisson; Quelque chose qui évoque des souvenirs; Une liste d'ingrédients sous leurs formes chimiques; ; ; ; Pas d'effet spécial; ["Griffes d'horreur. Les mains de l'utilisateur deviennent des lames tranchantes. Les mains infligent 1d8 dégâts tranchants pendant 10 minutes."]; []
2025-01-29 16:55:27.111233;    fr; Philtre  de festin  frelaté; Philtre; Une fiole en os; Transparent; Une chaleur constante; Épais et boueux; Magiquement la chose la plus désirable pour vous; Les cookies fraîchement cuits; Une étiquette imprimée indiquant que c'est une nouvelle saveur; ; Frelaté; ; Pas d'effet spécial; ['Festin. Supprime toute faim et soif de la cible. Nourrit et hydrate complètement pendant 24 heures.']; ['Hémorragie fatale. Perte de santé due à un saignement rapide (1d6 dégâts par round pendant 1d4 rounds).', 'Larmes de sang. Saignement des yeux pendant 1d4 rounds.']
2025-01-29 16:55:27.408106;    fr; Préparation  de forme élémentaire  périmé; Préparation; Une pochette en cuir; Bleu; Des rayures de couleur; Grumeleux; Le bacon; Le soufre; Sa description et une blague; ; Périmé; ; Pas d'effet spécial; ["Forme élémentaire. Transforme l'utilisateur en une forme élémentaire correspondant à sa personnalité. Transformation en élémentaire (feu, eau, terre, air) pendant 10 minutes."]; ["Angoisse persistante. Sentiments d'anxiété pendant 1d6 heures."]
2025-01-29 16:55:27.712969;    fr; Breuvage puissant de vitalité forme animale a retardement périmé; Breuvage; Une petite fiole médicale; Rouge; Une lueur douce; Fin et aqueux; Les épices; L'eau fraîche; Sa description en halfelin; Puissant; Périmé; A retardement; L'effet est retardé de 1d6 rounds en combat ou 1d20 minutes en dehors.; ['Vitalité. Régénère lentement des points de vie sur une période de quelques heures. Régénère 1 PV par minute pendant 1 heure.', "Forme animale. Transforme l'utilisateur en un animal aléatoire. Transformation en animal (CR 1 ou moins) pendant 1 heure."]; ['Boue éternelle. Recouvert de boue magiquement pendant 1d4 heures.']
2025-01-29 16:55:50.284359;    fr; Potion  de soin  ; Potion; Une bouteille en verre lisse et conique; Rouge; Une lueur douce; Épais et boueux; Les cookies fraîchement cuits; Les fleurs; Son nom et son titre en lettres majuscules; ; ; ; Pas d'effet spécial; ["Soin. Régénère instantanément des points de vie lorsqu'elle est bue. Régénère 2d6+4 PV."]; []
2025-01-29 16:57:46.701492;    en; Tonic  of nightmares  rotten; Tonic; A square glass bottle; Blue; Blood within it; Chunky; Fresh bread; Festive; Its description in Druidic; ; Rotten; ; No special effect; ['Nightmares. Makes the user get lost in a hallucinary dream world of their worst nightmares.']; ['Mutism. Unable to speak for 2d6 hours']
2025-01-29 16:57:48.751288;    en; Concoction strong of succubus charm growth flashing rotten; Concoction; A large bottle that can be swigged several times; White; Leaves and flowers in it; Almost solid; Polish; Of chemicals; Its name and flavour; Strong; Rotten; Flashing; The effect lasts only one instant, but its intensity is multiplied.; ['Succubus Charm. Makes the drinker irresistible to nearby people.', 'Growth. Makes the user double in size.']; ['Ocular Hemorrhage. Bleeding from the eyes deals 1d4 damage per hour for 1d6 hours']
2025-01-29 16:58:04.379540;    en; Elixir of Withered Petals; Tonic; A leather pouch; Dark Grey; A bright glow; Airy and bubbly; Rain; Roses; Has faded beyond reading; ; Rotten; ; No special effect; ['Acid Resistance. Gives resistance to acid.']; ['Skin Reaction. Rashes persist for 2d4 days']
2025-01-29 16:58:05.902922;    en; Elixir of Blossoming Fortitude; Tonic; A translucent long wine bottle; Purple; Some kind of bone floating in it; Oily; Fumes; Cheap perfume; Growing with flowers; ; ; ; No special effect; ['Vigor. Gives temporary health when drank.']; []
2025-01-29 16:58:06.873368;    en; Gilded Embrace of the Shielded Heart; Potion; A small metal vial; Pink; A constant heat; Oily; Garlic; Mayonnaise; The name of one of the party members; ; Flayed; ; No special effect; ['Stoneskin. Gives resistance to martial damage.']; ['Injury. Damage deals 2d6 immediate damage', 'Item Curse. Loss of a random item worth up to 1d100 gold']
2025-01-29 16:58:25.241275;    fr; Sève des Prophéties Maudites; Concoction; Un vaporisateur type inhalateur; Rouge; De la terre flottant dedans; Huileux; Les noix; Médical; Sa description en elfique avec une histoire mythique pertinente; ; Maudit; ; Pas d'effet spécial; ["Oracle. Permet à l'utilisateur de deviner l'avenir. Peut poser une question sur l'avenir et obtenir une réponse vague."]; ['Brouillard oculaire. Vision floue pendant 1d6 rounds.', 'Peau marquée. Éruptions cutanées pendant 1d6 jours.', 'Appel des ours. Attire les ours pendant 1d6 heures.']
2025-01-29 17:02:16.473174;    en; Ichor strong of fear gargoyle toughness  rotten; Ichor; A stone flask; Gold; Chunks of metal in it; Oily; Fruit; The sewers; A mass produced label saying it’s a new flavour; Strong; Rotten; ; No special effect; ['Fear. Makes the user terrified.', 'Gargoyle Toughness. Increases the users constitution.']; ['Hemorrhage. Health loss via rapid bleeding causing 1d6 damage per hour for 1d4 hours']
